month,pickup_community_area,n_trips
2018-11-01,1,99221
2018-11-01,2,71955
2018-11-01,3,187550
2018-11-01,4,89958
2018-11-01,5,104623
2018-11-01,6,569252
2018-11-01,7,477032
2018-11-01,8,1465849
2018-11-01,9,8479
2018-11-01,10,25668
2018-11-01,11,22085
2018-11-01,12,11077
2018-11-01,13,20074
2018-11-01,14,53608
2018-11-01,15,52878
2018-11-01,16,84217
2018-11-01,17,22181
2018-11-01,18,8638
2018-11-01,19,60666
2018-11-01,20,22594
2018-11-01,21,95068
2018-11-01,22,327619
2018-11-01,23,66978
2018-11-01,24,552707
2018-11-01,25,83083
2018-11-01,26,18553
2018-11-01,27,32012
2018-11-01,28,786968
2018-11-01,29,49759
2018-11-01,30,50820
2018-11-01,31,109120
2018-11-01,32,796628
2018-11-01,33,181690
2018-11-01,34,42871
2018-11-01,35,56801
2018-11-01,36,10577
2018-11-01,37,7391
2018-11-01,38,47293
2018-11-01,39,40934
2018-11-01,40,22380
2018-11-01,41,134826
2018-11-01,42,44110
2018-11-01,43,59809
2018-11-01,44,45044
2018-11-01,45,8955
2018-11-01,46,18904
2018-11-01,47,2556
2018-11-01,48,9878
2018-11-01,49,36417
2018-11-01,50,7940
2018-11-01,51,9448
2018-11-01,52,3356
2018-11-01,53,14833
2018-11-01,54,4248
2018-11-01,55,2231
2018-11-01,56,111144
2018-11-01,57,16060
2018-11-01,58,34955
2018-11-01,59,19215
2018-11-01,60,49247
2018-11-01,61,38021
2018-11-01,62,12109
2018-11-01,63,23468
2018-11-01,64,11069
2018-11-01,65,20928
2018-11-01,66,36471
2018-11-01,67,26611
2018-11-01,68,31235
2018-11-01,69,41066
2018-11-01,70,21577
2018-11-01,71,40017
2018-11-01,72,12500
2018-11-01,73,19613
2018-11-01,74,7326
2018-11-01,75,14246
2018-11-01,76,304609
2018-11-01,77,123705
2018-12-01,1,96988
2018-12-01,2,72117
2018-12-01,3,193501
2018-12-01,4,94709
2018-12-01,5,110967
2018-12-01,6,608865
2018-12-01,7,501193
2018-12-01,8,1474241
2018-12-01,9,9893
2018-12-01,10,26091
2018-12-01,11,23091
2018-12-01,12,11575
2018-12-01,13,19815
2018-12-01,14,55595
2018-12-01,15,55736
2018-12-01,16,87796
2018-12-01,17,22538
2018-12-01,18,8830
2018-12-01,19,61964
2018-12-01,20,22936
2018-12-01,21,100046
2018-12-01,22,338226
2018-12-01,23,68559
2018-12-01,24,568898
2018-12-01,25,87566
2018-12-01,26,20137
2018-12-01,27,33803
2018-12-01,28,748388
2018-12-01,29,50552
2018-12-01,30,50267
2018-12-01,31,105024
2018-12-01,32,748648
2018-12-01,33,150273
2018-12-01,34,37310
2018-12-01,35,54178
2018-12-01,36,11041
2018-12-01,37,7444
2018-12-01,38,47927
2018-12-01,39,39930
2018-12-01,40,22723
2018-12-01,41,108019
2018-12-01,42,41463
2018-12-01,43,62849
2018-12-01,44,47363
2018-12-01,45,9386
2018-12-01,46,19751
2018-12-01,47,2839
2018-12-01,48,10596
2018-12-01,49,38371
2018-12-01,50,8073
2018-12-01,51,9902
2018-12-01,52,3589
2018-12-01,53,15999
2018-12-01,54,4460
2018-12-01,55,2439
2018-12-01,56,91225
2018-12-01,57,16116
2018-12-01,58,35117
2018-12-01,59,19750
2018-12-01,60,49001
2018-12-01,61,38424
2018-12-01,62,11956
2018-12-01,63,24143
2018-12-01,64,11446
2018-12-01,65,21158
2018-12-01,66,37302
2018-12-01,67,28162
2018-12-01,68,31835
2018-12-01,69,43358
2018-12-01,70,22122
2018-12-01,71,41640
2018-12-01,72,13661
2018-12-01,73,20629
2018-12-01,74,7973
2018-12-01,75,15099
2018-12-01,76,233533
2018-12-01,77,125094
2019-01-01,1,105315
2019-01-01,2,76895
2019-01-01,3,188046
2019-01-01,4,97321
2019-01-01,5,111091
2019-01-01,6,608279
2019-01-01,7,498093
2019-01-01,8,1412473
2019-01-01,9,7786
2019-01-01,10,24702
2019-01-01,11,22719
2019-01-01,12,10412
2019-01-01,13,20945
2019-01-01,14,58055
2019-01-01,15,56682
2019-01-01,16,88361
2019-01-01,17,22904
2019-01-01,18,9608
2019-01-01,19,65024
2019-01-01,20,23912
2019-01-01,21,99977
2019-01-01,22,338477
2019-01-01,23,72542
2019-01-01,24,562174
2019-01-01,25,94002
2019-01-01,26,21697
2019-01-01,27,36033
2019-01-01,28,773466
2019-01-01,29,55505
2019-01-01,30,54677
2019-01-01,31,107384
2019-01-01,32,753281
2019-01-01,33,147615
2019-01-01,34,37219
2019-01-01,35,57103
2019-01-01,36,11025
2019-01-01,37,7863
2019-01-01,38,49938
2019-01-01,39,40822
2019-01-01,40,24083
2019-01-01,41,134243
2019-01-01,42,47095
2019-01-01,43,66041
2019-01-01,44,51110
2019-01-01,45,9622
2019-01-01,46,21649
2019-01-01,47,3255
2019-01-01,48,10978
2019-01-01,49,41151
2019-01-01,50,9092
2019-01-01,51,10946
2019-01-01,52,3897
2019-01-01,53,17570
2019-01-01,54,5031
2019-01-01,55,2823
2019-01-01,56,90880
2019-01-01,57,16529
2019-01-01,58,37482
2019-01-01,59,20980
2019-01-01,60,51502
2019-01-01,61,41035
2019-01-01,62,12996
2019-01-01,63,26272
2019-01-01,64,11677
2019-01-01,65,21944
2019-01-01,66,39614
2019-01-01,67,30576
2019-01-01,68,35592
2019-01-01,69,46606
2019-01-01,70,22643
2019-01-01,71,45066
2019-01-01,72,11626
2019-01-01,73,22435
2019-01-01,74,6971
2019-01-01,75,15490
2019-01-01,76,274158
2019-01-01,77,128382
2019-02-01,1,103362
2019-02-01,2,73235
2019-02-01,3,183709
2019-02-01,4,93767
2019-02-01,5,108155
2019-02-01,6,580391
2019-02-01,7,479064
2019-02-01,8,1413786
2019-02-01,9,7536
2019-02-01,10,24598
2019-02-01,11,23090
2019-02-01,12,10354
2019-02-01,13,21403
2019-02-01,14,56728
2019-02-01,15,56026
2019-02-01,16,85932
2019-02-01,17,22960
2019-02-01,18,9269
2019-02-01,19,64113
2019-02-01,20,23271
2019-02-01,21,96485
2019-02-01,22,332141
2019-02-01,23,72201
2019-02-01,24,551861
2019-02-01,25,98724
2019-02-01,26,22653
2019-02-01,27,38322
2019-02-01,28,801907
2019-02-01,29,59386
2019-02-01,30,54814
2019-02-01,31,109315
2019-02-01,32,770013
2019-02-01,33,158832
2019-02-01,34,39850
