month,pickup_community_area,n_trips
2023-04-01,2,57969
2023-04-01,3,133531
2023-04-01,4,63048
2023-04-01,5,63567
2023-04-01,6,405738
2023-04-01,7,290420
2023-04-01,8,930480
2023-04-01,9,6560
2023-04-01,10,22953
2023-04-01,11,21321
2023-04-01,12,8735
2023-04-01,13,15598
2023-04-01,14,43228
2023-04-01,15,45565
2023-04-01,16,63676
2023-04-01,17,20473
2023-04-01,18,9048
2023-04-01,19,53057
2023-04-01,20,17321
2023-04-01,21,65145
2023-04-01,22,202806
2023-04-01,23,57102
2023-04-01,24,319391
2023-04-01,25,102235
2023-04-01,26,25104
2023-04-01,27,34179
2023-04-01,28,500502
2023-04-01,29,55246
2023-04-01,30,41853
2023-04-01,31,73603
2023-04-01,32,499808
2023-04-01,33,148882
2023-04-01,34,34617
2023-04-01,35,41586
2023-04-01,36,9184
2023-04-01,37,6087
2023-04-01,38,38918
2023-04-01,39,30453
2023-04-01,40,22181
2023-04-01,41,150224
2023-04-01,42,58924
2023-04-01,43,66793
2023-04-01,44,51867
2023-04-01,45,10271
2023-04-01,46,24226
2023-04-01,47,3730
2023-04-01,48,11255
2023-04-01,49,45888
2023-04-01,50,11088
2023-04-01,51,13665
2023-04-01,52,4136
2023-04-01,53,24222
2023-04-01,54,8809
2023-04-01,55,3385
2023-04-01,56,100175
2023-04-01,57,12778
2023-04-01,58,24813
2023-04-01,59,14560
2023-04-01,60,31277
2023-04-01,61,30851
2023-04-01,62,9560
2023-04-01,63,17864
2023-04-01,64,10881
2023-04-01,65,16570
2023-04-01,66,36978
2023-04-01,67,31084
2023-04-01,68,36392
2023-04-01,69,49638
2023-04-01,70,23264
2023-04-01,71,52489
2023-04-01,72,10042
2023-04-01,73,25672
2023-04-01,74,5836
2023-04-01,75,18923
2023-04-01,76,309049
2023-04-01,77,93918
2023-05-01,1,83115
2023-05-01,2,61609
2023-05-01,3,133838
2023-05-01,4,65115
2023-05-01,5,66012
2023-05-01,6,406338
2023-05-01,7,296658
2023-05-01,8,966336
2023-05-01,9,6868
2023-05-01,10,24836
2023-05-01,11,22131
2023-05-01,12,9689
2023-05-01,13,16501
2023-05-01,14,45255
2023-05-01,15,48181
2023-05-01,16,66539
2023-05-01,17,21832
2023-05-01,18,9852
2023-05-01,19,55984
2023-05-01,20,18078
2023-05-01,21,66535
2023-05-01,22,200932
2023-05-01,23,59162
2023-05-01,24,320981
2023-05-01,25,105753
2023-05-01,26,25680
2023-05-01,27,35316
2023-05-01,28,516781
2023-05-01,29,56331
2023-05-01,30,43578
2023-05-01,31,75597
2023-05-01,32,540995
2023-05-01,33,157261
2023-05-01,34,37961
2023-05-01,35,44271
2023-05-01,36,9649
2023-05-01,37,6359
2023-05-01,38,41052
2023-05-01,39,31957
2023-05-01,40,23603
2023-05-01,41,154185
2023-05-01,42,61003
2023-05-01,43,68894
2023-05-01,44,53214
2023-05-01,45,10936
2023-05-01,46,25140
2023-05-01,47,3998
2023-05-01,48,12432
